condid,siteindex,site_baseage,stand_age,ba,df_ba,tpa,bdft,tcuft,topht,df_pctba,siteclass,qmd
22960852010497,120,100,60,356.5926607,356.5926607,132.1267466,45371.38123,15647.19767,141.7333333,15647.19767,4,22.24472962
22960854010497,93,100,35,88.58031101,70.45657789,78.89835558,7707.061812,2306.311734,69.16666667,2306.311734,5,14.34732468
22960856010497,131,100,70,324.5773376,324.5773376,134.7672746,86869.38473,16498.02692,151.3157895,16498.02692,3,21.01373135
22960857010497,89,100,100,292.2348155,153.9291757,746.0008217,48615.94895,10834.15764,125.8148148,10834.15764,5,8.474861826
22960867010497,104,100,75,198.764768,198.764768,84.8389528,31935.75307,8462.634322,143.0769231,8462.634322,4,20.72565933
22960884010497,113,100,2,38.71113445,38.71113445,9.028390875,,1600.664355,,1600.664355,4,28.03813191
22960894010497,98,100,40,90.86625169,90.86625169,186.559426,4119.029962,2104.982904,63.28571429,2104.982904,4,9.44993911
22960900010497,115,100,40,278.1150303,180.8868832,511.3325895,25085.61474,8358.733073,78.25,8358.733073,4,9.986120343
22960908010497,130,100,40,174.1692792,174.1692792,95.51086759,25049.74117,6525.645288,103.3333333,6525.645288,3,18.28503029
22960915010497,115,100,50,263.457073,179.4962777,373.6798523,39063.92575,9735.622591,105,9735.622591,4,11.36950067
22960941010497,120,100,45,182.5879052,124.9117855,342.1158993,11974.28651,4881.857709,67.5,4881.857709,4,9.892035723
22960943010497,83,100,15,60.23649165,45.56286486,215.2012606,1348.071038,815.3903195,38.95833333,815.3903195,5,7.163804591
22960946010497,120,100,50,298.9454392,179.6893492,293.8130795,34723.70931,10368.38836,89,10368.38836,4,13.65830182
22960967010497,134,100,65,167.7158987,165.2300708,115.0227637,30232.55187,7320.741922,148.4444444,7320.741922,3,16.35051813
22960989010497,133,100,20,82.45475042,81.55570586,109.7316439,5641.774686,1983.196052,61.66666667,1983.196052,3,11.73757012
22961011010497,160,100,14,85.74190966,74.93215005,212.4186496,2024.327427,1486.468707,46.22857143,1486.468707,2,8.602735218
22961019010497,135,100,40,211.0887183,178.9496458,369.4484881,10859.67841,6587.765897,70.4,6587.765897,3,10.23509473
22961596010497,114,100,62,215.3473309,158.2198433,145.409374,20568.4951,8114.260885,88.58333333,8114.260885,4,16.4782029
22961597010497,90,100,150,333.3796998,296.2772294,297.292478,65324.48059,13510.83563,156.7391304,13510.83563,5,14.33883664
22961601010497,84,100,65,274.3966643,169.2767266,183.0930162,27092.38012,8957.878363,77.86956522,8957.878363,5,16.57638504
22961621010497,125,100,17,171.7905052,132.1241589,855.0442499,10183.06632,4145.095561,53.91489362,4145.095561,3,6.069341648
22961625010497,71,100,110,429.5498371,306.848337,649.9285753,35977.32275,13779.92211,84.43478261,13779.92211,5,11.00804675
22961627010497,57,100,13,31.62949743,16.19399859,126.256073,1891.355791,679.2917848,50.71428571,679.2917848,5,6.777293737
22961628010497,57,100,100,62.64514974,12.69483841,253.5395618,3206.967267,1193.938531,67.71428571,1193.938531,5,6.730652365
