"CaseID","Stand_CN","StandID","MgmtID","RunTitle","KeywordFile","SamplingWt","Variant","Version","RV","Groups","RunDateTime"
"2d3f77b0-4c57-4b56-82a9-2d6dd63e6a62","","1201541020502900742350002","NONE","Stand 1201541020502900742350002 at WC","SDI_WC",1.00,"WC","1969    ","20170619  ","All, All_Stands, variant=WC","2017-07-19-16:01:00"
"2d407653-212b-4553-80df-5d0806e6bfbf","","1200741050801900709870001","NONE","Stand 1200741050801900709870001 at WC","SDI_WC",1.00,"WC","1969    ","20170619  ","All, All_Stands, variant=WC","2017-07-19-15:40:08"
"2d41a16c-4244-40cf-a61c-af7a867bb50d","","1201253060104900543710002","NONE","Stand 1201253060104900543710002 at WC","SDI",1.00,"PN","1969    ","20170619  ","All, All_Stands, variant=PN","2017-07-19-15:23:21"
"2d49873f-3060-49c3-8d85-c385564f587b","","1201153051003500605860002","NONE","Stand 1201153051003500605860002 at WC","SDI",1.00,"PN","1969    ","20170619  ","All, All_Stands, variant=PN","2017-07-19-15:21:49"
"2d4cebbc-5f73-4ddc-a404-5f739bd32573","","1201541020504300762780001","NONE","Stand 1201541020504300762780001 at WC","SDI_WC",1.00,"WC","1969    ","20170619  ","All, All_Stands, variant=WC","2017-07-19-16:01:24"
"2d5958c7-7ddd-4584-a43f-87d041b0f223","","1201341020303900719780001","NONE","Stand 1201341020303900719780001 at WC","SDI_WC",1.00,"WC","1969    ","20170619  ","All, All_Stands, variant=WC","2017-07-19-15:56:11"
"2d5d3fe4-c2d9-4b09-a041-910cee5d57ce","","1200741010705100760340001","NONE","Stand 1200741010705100760340001 at WC","SDI_WC",1.00,"WC","1969    ","20170619  ","All, All_Stands, variant=WC","2017-07-19-15:39:55"
"2d66758d-1e90-408d-a3aa-4ccca5174d95","","1200953050804900689190001","NONE","Stand 1200953050804900689190001 at WC","SDI",1.00,"PN","1969    ","20170619  ","All, All_Stands, variant=PN","2017-07-19-15:19:48"
"2d698422-3123-4a3c-8103-2b1a918c76f1","","1201141020103900605650001","NONE","Stand 1201141020103900605650001 at WC","SDI",1.00,"PN","1969    ","20170619  ","All, All_Stands, variant=PN","2017-07-19-15:20:58"
"2d70e6e6-a20f-4060-a4a0-7a5992bf5e5e","","1201341060405700885180001","NONE","Stand 1201341060405700885180001 at WC","SDI",1.00,"PN","1969    ","20170619  ","All, All_Stands, variant=PN","2017-07-19-15:24:31"
"2d72f696-122d-4ee3-891f-a500673c20e4","","1201141020103900655890001","NONE","Stand 1201141020103900655890001 at WC","SDI",1.00,"PN","1969    ","20170619  ","All, All_Stands, variant=PN","2017-07-19-15:20:59"
"2d7fee54-1738-48bf-a434-68daa1f6070b","","1200641050706700733990001","NONE","Stand 1200641050706700733990001 at WC","SDI",1.00,"PN","1969    ","20170619  ","All, All_Stands, variant=PN","2017-07-19-15:16:30"
"2d879e7e-f619-437b-84ef-f566774955d8","","1201053011003300637950001","NONE","Stand 1201053011003300637950001 at WC","SDI_WC",1.00,"WC","1969    ","20170619  ","All, All_Stands, variant=WC","2017-07-19-15:49:52"
"2d89043d-b66a-4877-a087-4ee765710cdf","","1201441060502900741970002","NONE","Stand 1201441060502900741970002 at WC","SDI_WC",1.00,"WC","1969    ","20170619  ","All, All_Stands, variant=WC","2017-07-19-15:59:03"
"2d8dd7bc-6d37-4686-a540-ef6641ce6ffb","","1200753050606100925600001","NONE","Stand 1200753050606100925600001 at WC","SDI_WC",1.00,"WC","1969    ","20170619  ","All, All_Stands, variant=WC","2017-07-19-15:43:22"
"2d9645ce-4095-4a03-a32b-84b6d2ae0674","","1200653050502700673360001","NONE","Stand 1200653050502700673360001 at WC","SDI",1.00,"PN","1969    ","20170619  ","All, All_Stands, variant=PN","2017-07-19-15:16:44"
"2dab578a-14ca-49a2-a421-c2f38a14debe","","1201153051004500739240002","NONE","Stand 1201153051004500739240002 at WC","SDI",1.00,"PN","1969    ","20170619  ","All, All_Stands, variant=PN","2017-07-19-15:21:54"
"2db20504-236c-499b-a8e1-01cde0451d8b","","1201141020103900809160001","NONE","Stand 1201141020103900809160001 at WC","SDI_WC",1.00,"WC","1969    ","20170619  ","All, All_Stands, variant=WC","2017-07-19-15:51:21"
"2db4c9aa-91a8-4159-af4d-e916231f5ae1","","1200853050702700696360001","NONE","Stand 1200853050702700696360001 at WC","SDI",1.00,"PN","1969    ","20170619  ","All, All_Stands, variant=PN","2017-07-19-15:18:35"
"2dbe8642-7499-4686-a17e-8991f71394c8","","1200753010704100558440001","NONE","Stand 1200753010704100558440001 at WC","SDI_WC",1.00,"WC","1969    ","20170619  ","All, All_Stands, variant=WC","2017-07-19-15:40:36"
"2dce9f0d-8ddb-4876-a52f-38c02bbd2b2f","","1200841050801900637300002","NONE","Stand 1200841050801900637300002 at WC","SDI",1.00,"PN","1969    ","20170619  ","All, All_Stands, variant=PN","2017-07-19-15:18:05"
"2dd3242d-521d-430d-a516-6acec91746d6","","1201353060201500558400001","NONE","Stand 1201353060201500558400001 at WC","SDI",1.00,"PN","1969    ","20170619  ","All, All_Stands, variant=PN","2017-07-19-15:25:29"
"2ddc95bf-a582-41a0-a4b6-9e4b522fbec3","","1201153020105900727430001","NONE","Stand 1201153020105900727430001 at WC","SDI_WC",1.00,"WC","1969    ","20170619  ","All, All_Stands, variant=WC","2017-07-19-15:52:19"
"2dea192c-0944-471f-8380-1591fdd0034c","","1201253020205900826710001","NONE","Stand 1201253020205900826710001 at WC","SDI_WC",1.00,"WC","1969    ","20170619  ","All, All_Stands, variant=WC","2017-07-19-15:54:56"
"2dead071-3d9e-4452-a6b5-dcd03e787a0e","","1200641050703900637750001","NONE","Stand 1200641050703900637750001 at WC","SDI_WC",1.00,"WC","1969    ","20170619  ","All, All_Stands, variant=WC","2017-07-19-15:35:00"
"2df57f9a-e8a2-47e4-82f8-cb9b94d86be5","","1200853050702700799730001","NONE","Stand 1200853050702700799730001 at WC","SDI",1.00,"PN","1969    ","20170619  ","All, All_Stands, variant=PN","2017-07-19-15:18:37"
"2df7474d-309f-4dbd-aa26-1c7c4b0832e6","","1201441020403900556470001","NONE","Stand 1201441020403900556470001 at WC","SDI",1.00,"PN","1969    ","20170619  ","All, All_Stands, variant=PN","2017-07-19-15:26:52"
"2df822f8-2e64-4873-a5f7-77c4ca7112a4","","1200953050606100580180001","NONE","Stand 1200953050606100580180001 at WC","SDI_WC",1.00,"WC","1969    ","20170619  ","All, All_Stands, variant=WC","2017-07-19-15:47:55"
"2dfcbde4-d643-476f-831d-1cb54319950f","","1201141020103900950720001","NONE","Stand 1201141020103900950720001 at WC","SDI_WC",1.00,"WC","1969    ","20170619  ","All, All_Stands, variant=WC","2017-07-19-15:51:25"
"2dfd42b0-0706-49b7-a8b8-205ea0e376e4","","1201453060306900730630002","NONE","Stand 1201453060306900730630002 at WC","SDI",1.00,"PN","1969    ","20170619  ","All, All_Stands, variant=PN","2017-07-19-15:29:39"
"2e06358a-d7e5-485c-a361-34bea6027631","","1200953010904100961570001","NONE","Stand 1200953010904100961570001 at WC","SDI_WC",1.00,"WC","1969    ","20170619  ","All, All_Stands, variant=WC","2017-07-19-15:47:33"
"2e075988-5114-41d2-843d-5d37752ee24d","","1201341020304300732980001","NONE","Stand 1201341020304300732980001 at WC","SDI_WC",1.00,"WC","1969    ","20170619  ","All, All_Stands, variant=WC","2017-07-19-15:56:21"
"2e0a4448-03c9-4c0d-8e4d-f7a3ced90a04","","1200641010602900862630001","NONE","Stand 1200641010602900862630001 at WC","SDI_WC",1.00,"WC","1969    ","20170619  ","All, All_Stands, variant=WC","2017-07-19-15:33:47"
"2e12ea0d-a610-45da-a79e-9a66ea6efe5e","","1200853050707300557130001","NONE","Stand 1200853050707300557130001 at WC","SDI",1.00,"PN","1969    ","20170619  ","All, All_Stands, variant=PN","2017-07-19-15:18:52"
"2e276ec6-40c6-485a-88da-f85390dee9cb","","1201353060202700649510001","NONE","Stand 1201353060202700649510001 at WC","SDI",1.00,"PN","1969    ","20170619  ","All, All_Stands, variant=PN","2017-07-19-15:25:36"
"2e28d60c-6acc-4ac1-87a6-36766a316ddb","","1200753010705900805110002","NONE","Stand 1200753010705900805110002 at WC","SDI_WC",1.00,"WC","1969    ","20170619  ","All, All_Stands, variant=WC","2017-07-19-15:40:51"
"2e2bb88e-2672-4b9f-ad71-b077fff54ca7","","1201053050903300502510001","NONE","Stand 1201053050903300502510001 at WC","SDI",1.00,"PN","1969    ","20170619  ","All, All_Stands, variant=PN","2017-07-19-15:20:46"
"2e2f843c-44d0-45a6-a3d6-2446710a4cba","","1200641050701900908810001","NONE","Stand 1200641050701900908810001 at WC","SDI_WC",1.00,"WC","1969    ","20170619  ","All, All_Stands, variant=WC","2017-07-19-15:34:39"
"2e38ac88-dcbd-4338-a475-0b73fc21a892","","1200641050701100630320002","NONE","Stand 1200641050701100630320002 at WC","SDI",1.00,"PN","1969    ","20170619  ","All, All_Stands, variant=PN","2017-07-19-15:16:11"
