"CaseID","StandID","Year","SP1","SP2","BA_FT1","BA_FT2","PERBA1","PREBA2"
"7c8e2e6f-9e21-4237-b9f6-7baa0f60f732","1201041060101900749450001",2014,0.00,0.00,0.00,0.00,,
"3b5f05c6-52aa-4eaa-aadb-01c9118ebca9","1201041060101900805170001",2014,16.00,19.00,73.96,10.60,0.87,0.12
"5d5f36b6-1066-43fb-bee8-ac0669f37e19","1201041060101900807230001",2014,16.00,39.00,142.26,2.40,0.57,9.74135939031839e-03
"330600b1-3968-44a9-8394-69e7fee7e2d2","1201041060101900808420001",2014,17.00,0.00,80.45,93.76,0.85,1.00
"a51c217f-f5f7-42de-9665-8a9ff2057e83","1201041060101900811330001",2014,16.00,0.00,107.68,161.79,0.66,1.00
"de56dfa6-7d24-4c12-8d2e-4412d3315a89","1201041060101900837780001",2014,0.00,0.00,0.00,0.00,,
"1ed54d26-21d6-4c4d-ab8e-660177b65494","1201041060101900859640001",2014,16.00,0.00,170.55,208.21,0.81,1.00
"0af1753d-75e2-4b78-ab4f-3ceb5ab8e86d","1201041060101900952150001",2014,16.00,34.00,129.19,1.63,0.55,6.9824755191803e-03
"010f5ace-0eee-4997-af0a-9dc7aee08ac0","1201041060101900966470001",2014,16.00,0.00,11.92,11.92,1.00,1.00
"6f8a7a71-8c3b-409e-8362-367e3fe9a78b","1201041060101900966470002",2014,3.00,39.00,131.99,70.62,0.57,0.30
"13dad801-dcac-492c-8223-d37bd35d9060","1201041060103900560350002",2014,22.00,0.00,73.84,185.11,0.39,1.00
"24422adf-5282-44a8-a614-9302686961b0","1201041060103900560350003",2014,16.00,22.00,228.97,8.08,0.96,0.03
"99b69d61-47cc-4971-96d0-9a9e7d548414","1201041060103900568470002",2014,16.00,0.00,86.56,96.68,0.89,1.00
"5529939f-cf01-4eb1-bae1-7bcbe4f38f97","1201041060103900574990002",2014,0.00,0.00,0.00,0.00,,
"2417a852-4351-4067-a374-7fc95f511819","1201041060103900594000001",2014,16.00,0.00,10.38,16.91,0.61,1.00
"bfcea681-e014-4b05-87ad-d4e9b4604c11","1201041060103900604430001",2014,16.00,18.00,230.51,74.37,0.68,0.22
"294a0f13-96b1-46e3-8e69-3eba976a5f0c","1201041060103900624650001",2014,22.00,19.00,96.36,1.73,0.45,8.20924807339907e-03
"55ea3fbc-1205-4161-bda3-bd76499184c2","1201041060103900638680001",2014,16.00,0.00,45.21,45.21,1.00,1.00
"016cd77e-5df5-4492-ace4-6c4f56123eab","1201041060103900658870001",2014,22.00,19.00,63.60,26.40,0.32,0.13
