Stand_CN,Stand_ID,Variant
107335,8819,PN
107335,8828,PN
107335,8837,PN
107335,8841,PN
107338,4580,PN
107338,4593,PN
107338,4711,PN
107338,7853,PN
107338,7906,PN
107338,7981,PN
107338,7991,PN
107338,8012,PN
107338,8014,PN
107338,8024,PN
107338,8035,PN
107338,8056,PN
107338,8072,PN
107338,8084,PN
107338,8092,PN
107338,8103,PN
107338,8119,PN
107338,8120,PN
107338,8135,PN
107338,8142,PN
107338,8160,PN
107338,8167,PN
107338,8170,PN
107338,8182,PN
107338,8187,PN
107338,8210,PN
107338,8226,PN
107338,8234,PN
107338,8246,PN
107338,8253,PN
107338,8279,PN
107338,8296,PN
107338,8306,PN
107338,8315,PN
107338,8319,PN
107338,8332,PN
107338,8339,PN
107338,8343,PN
107338,8381,PN
107338,8383,PN
107338,8404,PN
107338,8445,PN
107338,8448,PN
107338,8449,PN
107338,8455,PN
107338,8461,PN
107338,8467,PN
107338,8495,PN
107338,8500,PN
107338,8503,PN
107338,8509,PN
107338,8564,PN
107338,8567,PN
107338,8571,PN
107338,8615,PN
107338,8623,PN
107338,8652,PN
107338,8676,PN
107338,8685,PN
107338,8735,PN
107338,8754,PN
107338,8813,PN
107341,824,PN
107341,858,PN
1089,6419,WC
1089,6422,WC
10910,5680,PN
10910,5872,PN
10966,5566,PN
10966,5609,PN
10966,5781,PN
10966,5923,PN
10966,6015,PN
10966,6018,PN
10966,6080,PN
10966,6224,PN
11,7402,PN
1147,11120,PN
1147,11131,PN
1147,11174,PN
1147,11187,PN
1147,11191,PN
1147,11200,PN
1147,11204,PN
1147,11208,PN
1147,11226,PN
1147,11231,PN
1147,11244,PN
11842,6570,PN
11879,6556,PN
12010,6547,PN
12088,6587,PN
12189,6460,WC
12218,6523,PN
1223,7812,WC
12242,6581,PN
1235,2452,PN
1235,367,PN
1235,392,PN
1235,7198,PN
1242,3957,PN
1242,4020,PN
1242,4106,PN
1242,4167,PN
1242,4260,PN
1246,477,PN
1246,523,PN
1246,6761,PN
1246,6762,PN
12467,6476,PN
12467,6481,PN
12621,6564,PN
12621,6567,PN
12623,6444,PN
12623,6533,PN
12628,6557,PN
127407,6443,PN
127407,6519,PN
127407,6535,PN
127407,6583,PN
127418,10314,PN
127418,5518,PN
127418,5573,PN
127428,9376,WC
127428,9569,WC
127439,687,PN
127535,1469,PN
127535,1474,PN
127535,1486,PN
127535,1501,PN
127535,1522,PN
127535,9318,PN
127599,7568,PN
127599,7692,PN
127636,10370,PN
127636,10453,PN
127636,10495,PN
127636,5777,PN
127636,5785,PN
127636,5791,PN
127636,5958,PN
127636,5995,PN
127636,6074,PN
127636,6104,PN
127691,2399,PN
127691,2426,PN
127691,2434,PN
127691,2466,PN
127691,2514,PN
127691,2537,PN
127691,2552,PN
127691,2621,PN
127691,2631,PN
127691,2667,PN
127691,2682,PN
127691,4961,PN
127691,4962,PN
127691,4969,PN
127691,4982,PN
127691,6900,PN
127691,6911,PN
127691,6926,PN
127691,6960,PN
127691,6970,PN
127691,6982,PN
127691,6989,PN
127691,6997,PN
127691,7007,PN
127691,7045,PN
127691,7068,PN
127691,7082,PN
127691,7117,PN
127691,7134,PN
127691,7149,PN
127691,7166,PN
127691,7178,PN
127691,7209,PN
127691,7216,PN
127691,7269,PN
127691,7280,PN
127691,7292,PN
127691,7298,PN
127691,7306,PN
127691,7308,PN
127691,7311,PN
127691,7312,PN
127691,7313,PN
127691,7314,PN
127691,7331,PN
127691,7340,PN
127691,7342,PN
127691,7352,PN
127691,7359,PN
127691,7393,PN
127691,7405,PN
12771,6656,WC
12771,6669,WC
12771,6698,WC
12771,6720,WC
127724,1245,PN
127811,9142,PN
127811,9221,PN
127811,9360,PN
127992,5830,PN
128001,1046,PN
128001,1054,PN
128001,1055,PN
128001,1057,PN
128001,1063,PN
128001,1064,PN
128001,1068,PN
128001,1079,PN
128059,10048,PN
128059,10188,PN
128059,10197,PN
128059,10548,PN
128059,10632,PN
128059,10648,PN
128059,10653,PN
128059,10703,PN
128059,10708,PN
128059,10717,PN
128059,10782,PN
128059,10793,PN
128059,10800,PN
128059,10828,PN
128059,10831,PN
128059,4560,PN
128059,8874,PN
128059,8888,PN
128059,8931,PN
