Stand_ID,Stand_CN
10686,146667
10688,131726
10689,86559
1069,300
10691,146431
10692,131726
10694,131604
10696,150723
10697,86549
10698,136646
10699,146706
107,30425
1070,141800
10700,136646
10701,85027
10702,86549
10703,128059
10705,131726
10706,86549
10707,86549
10708,128059
10709,86559
1071,141470
10711,131726
10712,90404
10713,146706
10714,86549
10715,86549
10716,84604
10717,128059
10718,136646
1072,335
10720,86549
10722,136646
10723,131726
10724,150759
10725,86549
10728,130190
10729,89875
1073,149604
10734,150759
10738,86549
10739,86549
10740,131604
10744,86549
10745,136646
10747,146667
10748,130580
10749,84885
1075,335
10750,150806
10752,85027
10754,131726
10758,131726
1076,300
10760,86559
10761,150723
10762,84604
10763,136646
10765,142459
10767,85027
10768,136646
10769,142459
1077,335
10770,131726
10772,142323
10773,130580
10774,136646
10777,131726
10779,84678
1078,1481
10780,136646
10781,136646
10782,128059
10783,150759
10785,89371
10786,131604
10787,131726
10788,142459
1079,128001
10790,86559
10791,86549
10792,136646
10793,128059
10794,146631
10795,150723
10796,136646
10798,131726
10799,88243
108,30241
1080,141800
10800,128059
10801,90404
10802,90404
10803,90979
10806,146706
10808,86559
10809,146667
1081,1481
10810,89371
10812,86549
10813,146631
10814,130580
10817,146689
10818,131726
1082,135660
10823,131726
10824,131726
10825,146667
10826,130580
10827,90404
10828,128059
1083,335
10830,131726
10831,128059
10832,86549
10833,146667
10834,130580
10835,84604
10836,146667
10837,146431
10840,87415
10846,91002
10848,146558
1085,1481
10854,91002
1086,132752
10865,146558
10867,150663
10879,146813
1088,300
1089,1481
109,1348
1090,1481
1091,79168
10912,146659
10916,146659
1092,141800
1093,304
10930,91002
10933,89385
10935,91002
10936,87415
10937,90512
1094,300
10948,129652
1095,83948
10953,146558
1096,128791
10964,129652
10967,146659
1097,142155
10971,90512
10974,142535
10980,87415
10986,150663
10987,146813
1099,129288
10998,89385
11,84128
110,30382
1100,132993
1101,132993
11012,146813
11014,89371
1102,86635
11023,146397
1103,86635
1104,89773
11045,85374
1105,132993
1106,90276
11062,146689
1107,86039
1108,146336
11080,146397
11086,146813
1109,132993
111,136955
1110,90276
11106,87639
1111,132010
11111,29556
11112,73785
11113,144973
11114,29429
11118,144973
1112,132993
11120,1147
11123,29888
11125,29888
11126,29829
11127,29429
11129,29541
1113,134216
11131,1147
11132,1050
11135,149274
11137,144973
11138,83895
11139,1050
1114,146279
11142,84921
11143,29429
11144,29556
11148,30070
11149,83115
1115,150513
11150,29564
11154,83895
11155,1053
11156,29429
11157,30070
11158,29888
11159,29429
1116,131094
11162,832
11164,149274
11167,29542
1117,84816
11171,29564
11172,83895
11174,1147
11179,29124
1118,86188
11181,107071
11182,83895
11183,30070
11184,83895
11185,1030
11187,1147
1119,86635
11191,1147
11192,133781
11197,30070
112,30520
1120,18517
11200,1147
11203,29564
11204,1147
11206,29564
11208,1147
11209,30070
1121,88772
11210,75366
11211,149274
11212,29058
11215,149274
11217,30070
1122,128791
11220,107084
11224,30070
11226,1147
11229,30070
1123,132993
11230,29888
11231,1147
11232,1053
11233,1053
11234,1053
11235,29564
11236,29564
11237,29542
1124,132993
11240,83895
11241,79039
11243,144973
11244,1147
11246,30002
11247,149274
11248,145175
1125,132993
11252,29043
11254,150993
11255,86079
11256,86079
11257,86079
11258,136205
1126,134202
11260,131860
11261,84526
11262,86079
11263,87639
11264,129535
11265,86079
11266,136205
11267,129535
11268,136205
1127,132010
11270,86079
11271,86079
11272,86079
11273,86079
11274,129535
11275,86079
11276,129535
11277,86079
11278,87639
11279,86079
1128,85625
11281,86079
11283,136205
