parcel,year,cumulative_mbf,npv_total,aboveground_total_live,aboveground_merch_live,belowground_live,standing_dead,forest_down_dead_wood,forest_floor,forest_shrub_herb,total_stand_carbon,total_removed_carbon,carbon_released_from_fire,products,landfill,energy,emissions,merch_carbon_stored,merch_carbon_removed,tcuft,mcuft,rtcuft,rmcuft,bdft,rbdft,nfv_total,total_undiscounted_cost,total_discounted_cost,discounted_revenue,undiscounted_revenue,rx
2,2034,36.43907992,14894.36594,22.27728833,13.76193957,4.727086028,0.38489788,3.739833907,4.752555772,0.198034848,42.75025741,0,0,17.51250509,8.600436946,11.36064481,12.04020601,26.11294228,49.51379308,2697.298152,2193.654415,0,0,2733.452749,0,16004.95268,12762.56671,12252.15294,27151.06838,28781.7565,BAU
2,2039,36.82191112,14891.1694,32.1822381,22.41605486,7.108615026,0.585529097,3.48786328,4.979088126,0.198302384,54.18364643,0.730853014,0.190956797,16.21472021,9.362419901,11.8436229,12.75159819,25.57713978,50.17236148,4056.618582,3659.913268,110.2132096,101.440227,3239.394751,382.8312044,15991.72416,13069.60315,12337.29418,27232.7771,29079.10423,BAU
2,2044,37.92571638,14970.62214,41.48764935,29.138974,9.145436288,1.278898172,3.412365719,5.185490234,0.217416896,65.99706722,2.027790336,0.442356525,16.04331149,10.00211456,12.42795128,13.57796114,26.04542623,52.0513384,5453.621908,4881.432876,276.1880538,258.2379741,8849.880119,1103.805238,16360.25393,13581.63145,12451.20861,27425.54484,29962.34424,BAU
2,2049,38.59096224,14993.38438,50.85457861,38.13086563,11.08773039,2.814315365,3.664083829,5.291813595,0.221712764,78.93244711,1.219193645,0.245706483,15.31909542,10.64992533,12.91398505,14.3186637,25.9690203,53.20166875,6616.289683,6197.628672,164.7287363,156.7207983,24368.31252,665.2458283,16494.74817,13978.67555,12519.61531,27516.12568,30496.69739,BAU
2,2054,68.05051603,16780.35626,3.072045976,2.263489786,0.638529481,0.012056042,6.001493599,7.400860021,1.029953793,35.26135257,50.41528074,6.785725634,47.76969167,11.239854,19.90137269,21.30496016,59.00954571,100.2158792,7831.810577,7313.658775,7432.425078,6945.487464,30888.49057,29459.55326,30145.81341,23760.72298,13902.17984,30685.06637,53932.47467,BAU
2,2059,68.05051603,16762.6787,5.39421572,2.898597991,0.86846086,0.03535698,4.372011022,4.331404587,0.992762724,29.76767347,0,0,39.12655,15.31659102,21.98095866,23.79177805,54.44314056,100.2158777,516.720938,468.8287447,0,0,1903.647511,0,29971.1605,23937.63632,13919.62728,30684.3511,53938.05232,BAU
2,2064,68.53103407,16766.43699,5.840112304,3.218934294,1.273463687,0.035051192,3.277033615,4.446448361,0.412997772,26.57449808,0.759400989,0.112602646,33.91211164,17.94103961,23.40450906,25.67221872,51.85315092,100.9298789,804.8093747,627.9475641,114.7439416,107.9673533,2512.034547,480.5180423,30016.08558,24275.42937,13947.23962,30715.23709,54323.80834,BAU
2,2069,68.95353199,16767.7551,9.635419636,3.59879246,2.251134627,0.018443001,2.638883308,4.333578086,0.206451432,28.35288348,0.673281821,0.114443626,30.38403176,19.71945399,24.34986783,27.10821331,50.1034854,101.5615673,1205.999189,679.6810521,101.7889147,95.56832602,2472.446544,422.4979177,30035.04241,24595.58436,13967.63287,30736.59465,54667.303,BAU
2,2074,68.95353199,16759.25403,19.8985201,12.56860316,4.217110749,0.044376581,2.132219767,4.415572334,0.198147729,38.37308783,0,0,27.39561851,21.0066893,24.95066285,28.20859667,48.40230782,101.5615672,2414.592783,1998.547391,0,0,2807.514269,0,29860.38955,24773.0187,13975.96013,30736.07488,54674.39046,BAU
2,2079,69.37944705,16760.12423,29.31415493,20.51720649,6.441885749,0.076387449,1.964880373,4.61884534,0.19877903,48.8171542,0.672732367,0.107728072,25.50597713,21.99036896,25.47496098,29.2197477,47.49634572,102.1910543,3704.875982,3346.268497,101.5657545,95.08016323,3716.851748,425.9150572,29880.97271,25093.48365,13988.43726,30749.04262,55018.2396,BAU
2,2084,70.22158473,16767.41588,39.5838746,28.06528382,8.678974198,0.085884679,2.036915232,4.803454769,0.217614222,60.77859726,1.374790418,0.220695907,24.39008305,22.82405315,26.01258081,30.24776483,47.21413577,103.4744818,5159.536294,4635.594991,208.2237191,194.4031081,9136.236465,842.1376862,30118.01033,25528.63267,14001.95346,30769.51771,55692.93842,BAU
2,2089,70.64002392,16767.86553,49.9192118,37.61765559,10.85958948,1.160441018,2.171064773,4.917167605,0.221653441,73.9964271,0.664696578,0.110845807,22.90486819,23.6095268,26.42804786,31.15418443,46.51439546,104.0966278,6442.118037,6038.659809,100.4416245,94.02688878,24153.71621,418.4392207,30135.02325,25847.34809,14009.54578,30777.3178,56032.75797,BAU
2,2094,99.0669534,17012.9043,5.08872818,3.997591094,1.023086463,0.018227121,4.711511721,6.949464638,1.030015398,35.04011502,46.60722107,5.788456542,53.00940701,24.30581863,32.58252682,37.84014655,77.31522601,147.7378988,7737.499231,7255.256645,7052.980015,6607.423149,31283.69922,28426.92982,43311.75896,35300.85631,14199.22173,31211.80939,78666.52005,BAU
2,2099,99.0669534,17010.39061,7.44040044,4.699442636,1.257214316,0.045158273,3.353438452,4.060307736,1.002589656,30.21924085,0,0,44.75339591,28.22597914,34.41455434,40.34397017,72.97937461,147.7378986,807.8172289,758.827431,0,0,3373.660033,0,43137.10625,35478.31025,14201.64119,31211.53785,78673.73706,BAU
2,2104,99.53713817,17010.89612,7.760746567,5.018355402,1.61897074,0.043518817,2.453959421,4.180643885,0.447798515,27.21880814,0.744963693,0.096074873,39.60761301,30.83934685,35.69461203,42.29972022,70.44695999,148.4412921,1074.553177,915.6193923,112.2111412,106.0946977,4042.979875,470.1847556,43179.01998,35812.62958,14205.45802,31215.68771,79052.78628,BAU
2,2109,99.90457135,17010.8417,11.16944604,5.456379203,2.509442596,0.026405258,1.954632083,4.064458194,0.215601396,28.7263956,0.609432801,0.087870515,35.92437578,32.67639688,36.56142133,43.84948475,68.60077271,149.0116774,1429.795315,967.5686614,91.7746038,85.95849289,4034.113704,367.4331554,43171.76548,36114.47154,14208.14003,31218.17391,79350.36898,BAU
3,2014,6.437853297,2356.096779,3.99036107,2.461654516,0.912616551,0.184976603,7.458118789,5.572043429,0.922012891,23.67384288,16.52103431,4.097375048,7.920024252,0,3.910600398,2.494179658,7.920024252,14.32480443,3410.98412,3008.063814,2905.923247,2587.645273,7924.087267,6561.732098,2565.926893,2847.552426,2801.883221,5248.227873,5510.638287,BAU
3,2019,6.437853297,2233.911953,7.492122324,3.883599308,1.438909317,0.156526103,5.418214203,5.097717871,0.677501333,24.0143249,0,0,5.171121426,1.154007547,4.813693944,3.185981661,6.325128847,14.32480444,737.9142038,647.1237318,0,0,2022.18262,0,2394.413508,3030.322874,2921.463167,5233.937687,5534.138058,BAU
3,2024,6.437853297,2138.182309,10.19302281,5.635267235,2.411307126,0.189851796,4.337565626,5.316796805,0.254763733,25.72016699,0,0,3.620467977,1.75908327,5.337520334,3.607732928,5.379551336,14.3248044,1234.675268,927.4021467,0,0,3066.663358,0,2222.900128,3211.890678,3013.095548,5216.68401,5553.770993,BAU
3,2029,7.504277341,2278.953511,13.85188548,5.867666114,3.296934128,0.398143753,3.601845574,5.326999416,0.214783305,29.63892572,1.706999622,0.540797315,3.994343036,2.051956738,5.823152893,4.082825007,6.046299805,15.95227773,1933.036392,1228.092339,259.6309366,247.7576827,4382.5769,1066.424055,2539.237226,3756.389934,3258.038376,5592.304626,6428.270233,BAU
3,2034,8.715531726,2411.428547,21.7132017,13.13024757,4.618163303,0.572077231,3.114725586,5.445929169,0.248063912,38.84741871,2.287780215,0.593374015,4.844374117,2.317471867,6.32685753,4.60663068,7.161845956,18.0953341,3039.079988,2487.264079,323.1283635,309.2611381,4328.56499,1211.254448,2919.666654,4351.828924,3468.269961,5928.684511,7427.060355,BAU
3,2039,8.715531726,2365.379104,32.14239331,21.90594325,6.867994339,0.759490087,3.074104113,5.524890786,0.225631313,51.21245464,0,0,4.035801029,2.643872674,6.544707268,4.870952626,6.679673753,18.0953339,4070.069843,3584.429863,0,0,3748.309293,0,2748.15328,4543.137397,3512.926615,5922.246445,7476.738217,BAU
3,2044,10.25498809,2481.253772,40.17489258,27.99424527,8.561351559,1.036817219,3.080067443,5.805417334,0.22244911,61.8432832,2.788569889,0.573751377,5.373169273,2.853969265,7.064896867,5.428668528,8.227138482,20.72070348,5541.441038,4938.616895,380.9512572,361.7732686,7111.225629,1539.45633,3290.636383,5247.696771,3665.377579,6185.617913,8758.221478,BAU
3,2049,11.28540014,2532.764749,47.94100839,35.09394716,10.14945351,2.679680099,3.267101134,5.906024336,0.232145707,73.47762272,1.88892155,0.38745119,5.842657558,3.197994841,7.512602957,5.944143377,9.040652316,22.49739822,6471.619615,5952.445523,256.02779,242.932657,19005.37796,1030.412072,3597.546932,5782.629727,3753.22031,6319.102428,9633.203675,BAU
3,2054,34.56819009,3900.844944,5.079824191,3.645547775,0.997022621,0.112047173,5.843418317,7.81128016,0.951326838,35.05206612,45.32107516,5.914716041,34.15016163,3.563166027,14.57409781,12.16380825,37.71332812,64.4512343,7448.741435,6898.008675,6760.191737,6266.355609,25423.49706,23282.78988,14069.7556,13873.60623,4890.986235,8818.850226,28228.27575,BAU
3,2059,34.56819009,3883.4902,7.700324197,4.512362026,1.342718214,0.126221392,4.179415233,4.892315058,0.804526422,30.5302614,0,0,26.53876014,7.071499416,16.58536675,14.25560718,33.61025994,64.45123405,847.2765035,771.7571681,0,0,2460.156006,0,13898.24186,14064.93799,4905.656126,8810.117507,28277.47862,BAU
