StandID,StandCN
1657,1961
1658,1961
1659,26581
166,8939
1660,1961
1663,88160
1665,141539
1666,9762
1668,141632
167,83966
1670,231
1671,136139
1676,26581
1677,26380
1678,26581
168,21133
1681,257
1684,1961
1688,9762
169,130478
1692,131426
1693,150319
1694,26581
1698,136139
1699,145960
17,14094
1702,30568
1705,16622
1706,268
1708,26581
1709,141539
171,25211
1712,150319
1713,83378
1715,1961
172,392
1720,1961
1721,1961
1726,141644
1727,149969
1729,83378
173,130478
1731,141539
1734,83378
1735,1961
1737,269
174,8939
1740,128584
1742,231
1743,134063
1748,9762
1749,1961
175,9011
1750,146012
1755,9762
1756,1961
1759,16017
176,137673
1760,1961
1761,1961
1764,1961
1766,1961
1767,141632
177,401
1771,268
1773,83378
1775,83378
1777,83378
1781,1961
1782,257
1783,1961
1784,206
1788,26344
1789,26581
179,21009
1792,26581
1793,26581
1795,150319
1797,268
1799,257
180,9011
1800,268
1803,134063
1805,9762
1806,26581
1807,128333
1809,83378
181,87170
1810,79172
1811,268
1813,26581
1816,1961
1818,26581
1819,1961
182,15513
1820,1961
1822,141820
1823,141632
1828,16857
1829,150319
183,13960
1832,1961
1833,9762
1834,26581
1838,26581
1839,150319
1840,83378
1841,26581
1843,9762
1844,83378
1849,150319
185,134933
1850,1961
1852,1981
1855,1961
1859,130972
186,24713
1860,241
1862,150319
1863,150319
1865,81916
1867,1961
1869,1961
187,8938
1870,9762
1871,149969
1874,134063
1876,150319
1881,269
1884,88160
1885,1961
1886,150319
189,622
1890,141644
1893,9762
1896,26581
1898,1961
19,83592
190,21133
1900,241
1901,26380
1903,16622
1904,150319
1907,149969
191,137614
1910,26581
1911,81916
1912,1961
1913,141644
1914,88160
1916,141820
1918,1961
192,24895
1920,130044
1923,141644
1924,1961
1925,257
1926,136139
193,79192
1930,134063
1931,1961
1932,231
1933,88160
1935,26344
1937,149969
1938,1961
1939,136139
1940,150319
1941,141632
1943,1961
1945,150319
1946,26581
195,87170
1952,150319
1957,26721
196,24896
1961,231
1962,1961
1965,26581
1966,83378
1967,1968
1969,1961
197,25211
1972,1961
1974,9762
1976,79172
1977,268
1978,150319
1979,257
1981,132398
1982,83378
