"standid","parcelid","acres","core","fl","fm","fs","nl","nm","ns","sm","ss","wa_inner","wa_outer","fsc","parcelacres","fsccore","baucore","nonrip_fsc","nonrip_bau","baurip_nc","state"
"1811",53,"5","0.45","0","0.45","0","0","0","0","0","0","0","0","0.45","3669","0.91","0.45","4.09","4.09","0.91","OR"
"1812",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1813",53,"5","0.07","0","0","0","0","0.07","0","0","0","0","0","0.07","3669","0.15","0.07","4.85","4.85","0.15","OR"
"1814",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1815",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1816",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1817",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1818",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1819",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1820",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1821",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1822",53,"4.9","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","4.91","4.91","0","OR"
"1823",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1824",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1825",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1826",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1827",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1828",53,"2.5","0.41","0","0.41","0","0","0","0","0","0","0","0","0.41","3669","0.82","0.41","1.7","1.7","0.82","OR"
"1829",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1830",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1831",53,"2.3","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","2.27","2.27","0","OR"
"1832",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1833",53,"5","0.53","0","0","0","0","0.16","0","0","0","0","0","0.16","3669","0.69","0.53","4.31","4.31","0.69","OR"
"1834",53,"1.1","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","1.11","1.11","0","OR"
"1835",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1836",53,"3.5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","3.49","3.49","0","OR"
"1837",53,"1.6","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","1.64","1.64","0","OR"
"1838",53,"5","0","0","0","0","0","0","0","0","0","0","0","0","3669","0","0","5","5","0","OR"
"1839",53,"5","0.48","0","0.48","0","0","0","0","0","0","0","0","0.48","3669","0.95","0.48","4.04","4.04","0.95","OR"
