"standid","conv_yr"
"1077",2014
"10770",2014
"10772",2014
"10773",2014
"10774",2014
"10777",2014
"10779",2014
"1078",2014
"10780",2014
"10781",2014
"10782",2014
"10783",2014
"10785",2014
"10786",2014
"10787",2014
"10788",2019
"1079",2014
"10790",2014
"10791",2014
"10792",2014
"10793",2014
"10794",2019
"10795",2014
"10796",2014
"10798",2014
"10799",2014
"108",2019
"1080",2014
"10800",2014
"10801",2014
"10802",2014
"10803",2049
"10806",2014
"10808",2014
"10809",2014
"1081",2014
"10810",2014
"10812",2014
"10813",2019
"10814",2014
"10817",2014
"10818",2014
"1082",2014
"10823",2014
"10824",2014
"10825",2014
"10826",2014
"10827",2014
"10828",2014
"1083",2014
"10830",2014
"10831",2014
"10832",2014
"10833",2014
"10834",2014
"10835",2014
"10836",2014
"10837",2014
"10838",2014
"10839",2014
"10840",2014
"10841",2014
"10842",2014
"10843",2014
"10844",2014
"10845",2014
"10846",2014
"10847",2014
"10848",2039
"10849",2014
"1085",2014
"10850",2014
"10851",2014
"10852",2014
"10853",2014
"10854",2014
"10855",2014
"10856",2014
"10857",2014
"10858",2014
"1086",2014
"10860",2014
"10861",2014
"10862",2034
"10863",2014
"10864",2014
"10865",2039
"10866",2014
"10867",2014
"10868",2014
"10869",2014
"10871",2014
"10872",2014
"10873",2014
"10874",2024
"10875",2014
"10876",2014
"10877",2014
"10879",2014
"1088",2039
"10880",2014
"10881",2014
"10882",2014
"10883",2014
"10884",2014
"10885",2014
"10886",2014
"10887",2014
"10888",2014
"10889",2034
"1089",2014
"10890",2034
"10891",2014
"10892",2014
"10893",2014
"10894",2014
"10895",2014
"10896",2014
"10897",2014
"10898",2014
"109",2014
"1090",2014
"10900",2014
"10901",2014
"10902",2014
"10903",2014
"10906",2014
"10908",2014
"10909",2014
"1091",2014
"10910",2014
"10911",2014
"10912",2014
"10913",2014
"10914",2014
"10915",2029
"10916",2014
"10917",2014
"10918",2014
"10919",2014
"1092",2014
"10920",2014
"10921",2014
"10922",2014
"10923",2014
"10924",2014
"10925",2014
"10926",2014
"10927",2014
"10928",2014
"10929",2014
"1093",2014
"10930",2014
"10931",2014
"10933",2014
"10934",2014
"10935",2014
"10936",2014
"10937",2014
"10938",2014
"10939",2014
"1094",2039
"10940",2014
"10941",2014
"10942",2014
"10943",2014
"10944",2014
"10945",2014
"10946",2014
"10947",2014
"10948",2014
"10949",2014
"1095",2029
"10950",2014
"10951",2014
"10952",2014
"10953",2039
"10954",2014
"10955",2014
"10956",2014
"10957",2014
"10958",2014
"10959",2014
"1096",2014
"10962",2014
"10963",2014
"10964",2014
"10965",2014
"10967",2014
"10969",2014
"1097",2014
"10970",2014
"10971",2014
"10972",2014
"10973",2014
"10974",2014
"10975",2014
"10976",2014
"10977",2014
"10978",2014
